本词表根据NorthEuraLex数据库概念框架构建
日语部分填写人：李霁霄 日本关西学院大学 社会学系本科生 留学经验4年
英语	汉语	日语
dishes	碟	皿
cup	杯	カップ
pot	锅	鍋
meal	饭	食事
food	食物	食べ物
dish	菜	料理
meat	肉	肉
corn	玉米	コーン
bread	面包	パン
fat	脂肪	脂肪
butter	黄油	バター
oil	油	オイル
salt	盐	塩
soup	汤	スープ
honey	蜂蜜	はちみつ
milk	牛奶	ミクル
tea	茶	ティー
cook	做饭	調理
bake	烘焙	焼く
fry	油炸	揚げ物
pork	猪肉	豚肉
rice	米饭	ご飯
noodle	拉面	ラーメン
beer	啤酒	ビール
fish	鱼肉	魚肉
beef	牛肉	牛肉
egg	鸡蛋	卵
wine	酒	酒
vegetable	蔬菜	野菜
#衣服语义场
leather	皮革	革
wool	羊毛	ウール
cloth	布	布
needle	针	針
thread	线	糸
button	扣子	ボタン
knot	结	結び目
clothes	衣服	服装
shirt	衬衫	シャツ
collar	衣领	襟
sleeve	袖子	袖
trousers	裤子	ズボン
belt	腰带	ベルト
cap	帽	帽子
shoe	鞋	靴
boot	靴	ブーツ
ring	戒指	指輪
ribbon	丝带	リボン
comb	梳子	櫛
mirror	镜子	鏡
strap	带子	吊り革
string	细绳	ひも
leash	皮带	鎖
blanket	被子	毛布
pillow	枕头	枕
scarf	围巾	スカーフ
towel	毛巾	タオル
naked	裸	裸
knit	织	編む
sew	缝	縫う
dye	染	染める
take off	脱	抜く
put on	穿	着く
comb	梳	くし
#时间语义场
age	年龄	歳
time	时间	時間
day	天	日
morning	早上	朝
noon	中午	昼
evening	晚上	晩
night	夜	夜
week	星期	週
month	月	月
year	年	年
spring	春	春
summer	夏	夏
autumn	秋	秋
winter	冬	冬
January	一月	一月
February	二月	二月
March	三月	三月
April	四月	四月
May	五月	五月
June	六月	六月
July	七月	七月
August	八月	八月
September	九月	九月
October	十月	十月
November	十一月	十一月
December	十二月	十二月
Monday	星期一	月曜日
Tuesday	星期二	火曜日
Wednesday	星期三	水曜日
Thursday	星期四	木曜日
Friday	星期五	金曜日
Saturday	星期六	土曜日
Sunday	星期日	日曜日
aged	年迈	年寄り
young	年轻	若い
last	最后	最後
at once	同时	同時に
together	一起	一緒
long	久	長い
suddenly	突然	突然
instantly	立即	すぐ
later	后来	その後
now	现在	今
today	今天	今日
tomorrow	明天	明日
soon	不久	間もなく
then	然后	次に
yesterday	昨天	昨日
once	一旦	一度
at that time	当时	当時
afterwards	以后	今後
before	以前	以前
sometimes	有时	時に
often	经常	たびたび
always	总是	いつも
never	从不	決して
#感觉语义场
big	大	大きい
little	小	小さい
long	长	長く
short	短	短い
wide	宽	広い
narrow	窄	狭い
dense	密集	濃い
thick	厚	厚い
thin	薄	薄い
smooth	光滑	滑らか
hard	硬	硬い
soft	软	柔らかい
round	圆	丸い
pointed	尖	尖
sharp	锋利	鋭い
blunt	钝	鈍い
heavy	重	重い
hot	热	暑い
warm	温暖	暖かい
cold	寒冷	寒い
cool	凉	冷たい
fresh	新鲜	新鮮
damp	潮湿	湿気
wet	湿	湿る
dry	干	乾い
full	满	満ち
sweet	甜	甘い
bitter	苦	苦い
sour	酸	酸っぱい
bright	明亮	輝く
dark	暗	暗い
ache	痛	痛い
feel	感觉	感覚
flavour	味道	味
odour	气味	気味
#动作语义场
open	开	開く
stand	站	立つ
sit	坐	座る
hang	挂	つるす
shout	喊	叫ぶ
drink	喝	飲む
eat	吃	食べる
swallow	吞	飲み込む
fall asleep	入睡	寝入る
sleep	睡	寝る
wake up	醒来	醒める
get up	起床	起き上がる
relax	休息	休む
budge	挪动	身動き
stand up	站起	立てる
sit down	坐下	座り
tumble	跌倒	転倒
pace	步伐	足並み
go for a walk	散步	散歩
rush	冲进	突進
dash	疾驰	ダッシュ
run	跑	走る
jump	跳	跳ぶ
climb	攀登	登る
creep	爬行	はう
hurry	赶快	急ぐ
groan	呻吟	うめき声
tremble	颤抖	震え
flee	逃	逃げる
see	看见	見る
look at	注视	注目
put	放	置く
hear	听见	聞こえ
listen	听	聴く
taste	品尝	味見
smell	闻	匂い
lay	摆	おろす
touch	摸	触る
pick up	捡起	拾い
seize	抓住	掴む
hold	拿着	保持
push	推	押す
scrape	刮	擦る
lick	舔	舐める
bite	咬	噛む
cut off	切断	切断
tie	系	結ぶ
stick	刺	突き刺す
break	打破	破る
knock	敲	ノック
hit	击打	打つ
dig	挖	掘る
bow	鞠躬	お辞儀
bend	弯曲	曲げる
raise	举起	上げる
press	按	押し
rub	摩擦	擦れる
spread	展开	広げる
grind	磨碎	磨く
cut	切	切る
jolt	震动	揺れる
shake	摇	揺する
swing	摆动	振る
pour	倒	倒れる
fill	填	満たす
wrap	包住	包む
carry	搬	運ぶ
drag	拖拽	引きずる
pull	拉	引く
keep	保持	保つ
throw	扔	投げる
catch	接住	受け止める
grab	抓	捕まえる
lift	抬升	持ち上げる
take	拿	持つ
give	给	あげる
kick	踢	蹴る
shove	撞	押し込む
tie up	拴	縛る
feed	喂	飼う
milk	挤奶	搾乳
clean	清洁	掃除
wash	洗	洗う
wipe	擦	拭く
rinse	冲洗	濯ぐ
sweep	扫	掃く
stir	搅动	かき回す
water	浇水	水増し
bath	洗澡	入浴
walk	步行	歩く
#功能词语义场
other	其他	その他
at first	首先	まず
hence	由此	故に
not	不	ない
a little	一点儿	少し
very	非常	とても
so	所以	だから
still	仍然	まだ
only	只有	ただ
already	已经	既に
again	再次	また
through	通过	通過
because of	因为	ため
this	这	これ
that	那	あれ
everything	一切	全て
I	我	私
you	你	君
he	他	彼
we	我们	我々
you	你们	君たち
they	他们	彼ら
what	什么	何
who	谁	誰
where	哪里	どこ
how	如何	どうして
why	为什么	なぜ
how much	多少	いくら
and	和	と

